possible_moves,phase,search_time
27,5,1.3306388854980469
4,5,0.5488159656524658
23,5,1.0200169086456299
4,5,0.4264230728149414
27,5,1.412795066833496
15,5,0.8301730155944824
30,5,1.3284540176391602
4,5,0.5867130756378174
24,5,0.5089631080627441
12,5,0.668280839920044
11,4,0.15059423446655273
2,2,0.11746716499328613
18,2,0.12317991256713867
26,2,0.05745697021484375
34,4,0.023943185806274414
34,4,0.07517075538635254
30,4,0.05706310272216797
34,4,0.1777338981628418
34,6,0.3030421733856201
20,24,2.5326972007751465
20,24,2.799105167388916
22,24,4.085285902023315
27,24,14.2777259349823
28,24,11.402507066726685
28,24,19.292463779449463
33,24,10.594252109527588
30,24,25.218489170074463
35,24,13.407214879989624
24,24,7.303729772567749
34,24,7.822469234466553
24,24,18.366779088974
38,24,7.968714237213135
28,24,16.501828908920288
39,24,13.203433990478516
27,24,18.727468967437744
44,24,14.108606100082397
34,24,37.18294405937195
40,24,27.546359062194824
33,24,24.628079891204834
35,24,13.707039833068848
32,24,17.72094702720642
35,24,20.31368899345398
36,24,23.352718114852905
36,24,29.902612924575806
35,24,36.538382053375244
37,24,18.54084610939026
37,24,34.683916091918945
41,24,36.15784192085266
42,24,63.95931696891785
42,24,32.61738896369934
37,23,22.675589084625244
40,22,33.806236028671265
41,22,65.96066570281982
47,22,19.122618198394775
4,22,11.724210023880005
43,18,13.646826028823853
27,14,20.13544774055481
43,14,14.53416132926941
25,14,19.735772132873535
40,14,15.758646011352539
25,14,4.234837055206299
41,14,14.102585077285767
22,13,9.380981922149658
35,12,17.34153914451599
29,12,6.243834972381592
38,12,12.22188687324524
27,12,16.161497116088867
37,12,12.827803134918213
35,12,33.8719961643219
41,12,24.065223932266235
40,12,19.706865072250366
3,10,0.9055829048156738
29,8,8.770020723342896
38,8,13.805668830871582
31,8,12.102389097213745
26,6,2.25862193107605
24,4,3.856441020965576
26,4,3.3110551834106445
23,4,2.457266330718994
24,4,2.151979923248291
23,4,2.270617961883545
23,4,3.5551271438598633
20,4,1.9949791431427002
5,4,1.4832777976989746
26,4,2.0195467472076416
22,4,2.4862780570983887
29,4,2.1979329586029053
3,4,0.6275227069854736
25,4,1.5304818153381348
1,4,0.36598896980285645
25,4,2.186499834060669
18,4,1.5126452445983887
24,4,0.655421257019043
4,4,1.1402239799499512
26,4,0.6871130466461182
3,4,0.6339349746704102
24,4,1.564884901046753
1,4,0.3168478012084961
24,4,2.4116668701171875
20,4,2.1220951080322266
22,4,1.439673900604248
4,4,0.9884898662567139
24,4,1.6517281532287598
20,4,1.5910539627075195
23,4,1.1372008323669434
22,4,2.085110902786255
23,4,1.3251750469207764
12,3,0.42375707626342773
25,3,0.6748189926147461
8,3,0.5799100399017334
23,3,0.31249189376831055
5,2,0.06070208549499512
3,2,0.0768578052520752
8,2,0.3408079147338867
24,2,0.26023101806640625
3,2,0.14604783058166504
24,2,0.3851299285888672
6,2,0.301440954208374
25,2,0.3104369640350342
6,2,0.28720808029174805
24,2,0.5097918510437012
8,2,0.43675875663757324
25,2,0.48500585556030273
9,2,0.680063009262085
26,2,0.42586708068847656
6,2,0.2672312259674072
22,2,0.20577406883239746
6,2,0.37717103958129883
20,2,0.2985200881958008
7,2,0.30225300788879395
19,2,0.2630341053009033
6,2,0.2342689037322998
21,2,0.2939300537109375
4,2,0.3422670364379883
26,2,0.24426007270812988
6,2,0.33076906204223633
21,2,0.32549524307250977
4,2,0.3343160152435303
26,2,0.2187061309814453
6,2,0.29374194145202637
21,2,0.3100411891937256
4,2,0.25940394401550293
26,2,0.21950721740722656
6,2,0.39795970916748047
21,2,0.3238179683685303
4,2,0.3924520015716553
26,2,0.27943968772888184
4,2,0.18381094932556152
21,2,0.2154521942138672
3,2,0.25987887382507324
25,2,0.23589777946472168
6,2,0.39968180656433105
23,2,0.15779614448547363
5,2,0.30091023445129395
22,2,0.2252950668334961
4,2,0.25066590309143066
20,2,0.1911170482635498
5,2,0.2665138244628906
21,2,0.2354869842529297
6,2,0.24618196487426758
22,2,0.169234037399292
6,2,0.26276302337646484
22,2,0.1426706314086914
4,2,0.2371997833251953
23,2,0.16709184646606445
6,2,0.3424258232116699
24,2,0.25286412239074707
5,2,0.43488192558288574
21,1,0.13567686080932617
3,5,0.5051248073577881
38,5,0.30362701416015625
3,5,0.4374079704284668
40,5,0.2629969120025635
3,5,0.27358007431030273
35,5,0.27147436141967773
2,5,0.20180892944335938
39,5,0.3073570728302002
3,5,0.279512882232666
38,5,0.3088970184326172
3,5,0.34258604049682617
35,5,0.23423099517822266
2,5,0.21342110633850098
39,5,0.28069400787353516
3,5,0.20825695991516113
38,5,0.2462310791015625
3,5,0.36914920806884766
35,5,0.24825787544250488
2,5,0.24360203742980957
39,5,0.25337696075439453
3,5,0.19994330406188965
38,5,0.3061201572418213
3,5,0.3797461986541748
35,5,0.21312999725341797
2,5,0.24458694458007812
39,5,0.2737610340118408
3,5,0.2996668815612793
38,5,0.28316283226013184
2,5,0.29604601860046387
39,5,0.35892820358276367
3,5,0.2250199317932129
38,5,0.23122692108154297
2,5,0.19847822189331055
38,5,0.23061203956604004
1,5,0.19823217391967773
38,5,0.32917118072509766
2,5,0.2182610034942627
36,5,0.22662019729614258
2,5,0.16112709045410156
35,5,0.2089979648590088
2,5,0.20381808280944824
38,5,0.27491092681884766
1,5,0.21197009086608887
40,5,0.2701261043548584
1,5,0.15567708015441895
37,5,0.21531271934509277
1,5,0.14637017250061035
36,5,0.18416404724121094
2,5,0.26373791694641113
40,5,0.19358205795288086
2,5,0.144758939743042
36,5,0.2012348175048828
2,5,0.16373777389526367
40,5,0.22176003456115723
2,5,0.14875292778015137
36,5,0.19536709785461426
2,5,0.15615105628967285
40,5,0.2086331844329834
2,5,0.21781706809997559
36,5,0.17981386184692383
2,5,0.17599201202392578
40,5,0.21630620956420898
2,5,0.1488509178161621
36,5,0.19526195526123047
2,5,0.20018696784973145
40,5,0.23298406600952148
1,5,0.1880321502685547
40,5,0.24765586853027344
2,5,0.19864892959594727
41,5,0.23258590698242188
1,5,0.16210198402404785
38,5,0.2507641315460205
2,5,0.17899394035339355
32,5,0.16678667068481445
1,5,0.15179228782653809
38,5,0.22428011894226074
2,5,0.12997078895568848
32,5,0.21158909797668457
1,5,0.19343304634094238
38,5,0.19480299949645996
2,5,0.23413515090942383
41,5,0.21083402633666992
1,5,0.14261674880981445
38,5,0.19437265396118164
2,5,0.1451880931854248
41,5,0.2322218418121338
